key,English,German
meleeWpnClubT3MorgenSternClubDesc,"Morningstar are very durable and hard-hitting.\n\nRepair with a Repair Kit.\nScrap to Morningstar Parts","Morgenstern sind sehr widerstandsfähig und haben ganz schön Wumms.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Morgensten Patrs zerlegt werden"
meleeWpnClubT3MorgenSternClubParts,"Morningstar Parts","Morgenstern,Partes"

foodGoldenEggBBB,"Golden Egg M.FoxGaming","Goldenes Ei M.FoxGaming"
foodGoldenEggBBBDesc,"GoldenEgg are very delicious.\n\nTv MaxFox_Gaming.\nThx M.Fox.,,"Golden Egg sind Lecker schmecker.\n\nTv MaxFox_Gaming.\nThx M.Fox."


BatteryMD21,"Radio Battery","Radio Battery"
BatteryMD21Desc,"Repair Radio","Radio reparieren"


radio_1,"Radio Antipas","Radio Antipas"
radio_1Desc,"Radio Antipas","Radio Antipas"

radio_2,"Radio Blutengel","Radio Blutengel"
radio_2Desc,"Radio Blutengel","Radio Blutengel"

radio_3,"Radio Cock Robin","Radio Cock Robin"
radio_3Desc,"Radio Cock Robin","Radio Cock Robin"

radio_4,"Radio Deep Purple","Radio_Deep Purple"
radio_4Desc,"Radio Deep Purple","Radio Deep Purple"

radio_5,"Radio MusicCar","Radio MusicCar"
radio_5Desc,"Radio MusicCar","Radio MusicCar"

radio_6,"Radio NDW","Radio NDW"
radio_6Desc,"Radio NDW","Radio NDW"

radio_7,"Radio Keller Party","Radio Keller Party"
radio_7Desc,"Radio Keller Party","Radio Keller Party"

radio_8,"Radio Trouble Andrew","Radio Trouble Andrew"
radio_8Desc,"Radio Trouble Andrew","Radio Trouble Andrew"

radio_9,"Radio Gandalf","Radio Gandalf"
radio_9Desc,"Radio Gandalf","Radio Gandalf"

radio_10,"Radio Kubixx","Radio Kubixx"
radio_10Desc,"Radio Kubixx","Radio Kubixx"

radio_11,"Radio Dangerseeker","Radio Dangerseeker"
radio_11Desc,"Radio Dangerseeker","Radio Dangerseeker"

radio_1BlockVariantHelper,"Radio","Radio"
radio_1BlockVariantHelperDesc,"Change Music","Musik wechseln"



4mrampif1,"Ramp 4m 1","Rampe 4m 1"
4mrampif1Desc,"Ramp 4m Inside corner frameShapes","Rampe 4m InnenEcke RahmenFormen"

4mrampif2,"Ramp 4m 2","Rampe 4m 2"
4mrampif2Desc,"Ramp 4m Inside corner frameShapes","Rampe 4m InnenEcke RahmenFormen"

4mrampif3,"Ramp 4m 3","Rampe 4m 3"
4mrampif3Desc,"Ramp 4m Inside corner frameShapes","Rampe 4m InnenEcke RahmenFormen"

4mrampif4,"Ramp 4m 4","Rampe 4m 4"
4mrampif4Desc,"Ramp 4m Inside corner frameShapes","Rampe 4m InnenEcke RahmenFormen"

4mrampif1BlockVariantHelper,"Ramp 4m Inside corner frameShapes","Rampe 4m InnenEcke RahmenFormen"
4mrampif1BlockVariantHelperDesc,"Craft various Ramp 4m with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the radial menu. Click or Shift-Click to select a variant to build with.","Stelle mit diesem Helferblock verschiedene Rampen 4m her.\nFüge den gefertigten Block deiner Leiste hinzu, halte die Nachladen-Taste gedrückt und wähle den Formeintrag im Kreismenü. Klicke oder Shift-Klicke, um eine Variante auszuwählen und damit zu bauen."

4mrampih1,"Ramp 4m 1","Rampe 4m 1"
4mrampih1Desc,"Ramp 4m Inside corner Wood","Rampe 4m InnenEcke Holz"

4mrampih2,"Ramp 4m 2","Rampe 4m 2"
4mrampih2Desc,"Ramp 4m Inside corner Wood","Rampe 4m InnenEcke Holz"

4mrampih3,"Ramp 4m 3","Rampe 4m 3"
4mrampih3Desc,"Ramp 4m Inside corner Wood","Rampe 4m InnenEcke Holz"

4mrampih4,"Ramp 4m 4","Rampe 4m 4"
4mrampih4Desc,"Ramp 4m Inside corner Wood","Rampe 4m InnenEcke Holz"

4mrampib1,"Ramp 4m 1","Rampe 4m 1"
4mrampib1Desc,"Ramp 4m Inside corner Brick","Rampe 4m InnenEcke Brick"

4mrampib2,"Ramp 4m 2","Rampe 4m 2"
4mrampib2Desc,"Ramp 4m Inside corner Brick","Rampe 4m InnenEcke Brick"

4mrampib3,"Ramp 4m 3","Rampe 4m 3"
4mrampib3Desc,"Ramp 4m Inside corner Brick","Rampe 4m InnenEcke Brick"

4mrampib4,"Ramp 4m 4","Rampe 4m 4"
4mrampib4Desc,"Ramp 4m Inside corner Brick","Rampe 4m InnenEcke Brick"

4mrampiz1,"Ramp 4m 1","Rampe 4m 1"
4mrampiz1Desc,"Ramp 4m Inside corner Cement","Rampe 4m InnenEcke Zement"

4mrampiz2,"Ramp 4m 2","Rampe 4m 2"
4mrampiz2Desc,"Ramp 4m Inside corner Cement","Rampe 4m InnenEcke Zement"

4mrampiz3,"Ramp 4m 3","Rampe 4m 3"
4mrampiz3Desc,"Ramp 4m Inside corner Cement","Rampe 4m InnenEcke Zement"

4mrampiz4,"Ramp 4m 4","Rampe 4m 4"
4mrampiz4Desc,"Ramp 4m Inside corner Cement","Rampe 4m InnenEcke Zement"

4mrampis1,"Ramp 4m 1","Rampe 4m 1"
4mrampis1Desc,"Ramp 4m Inside corner Steel","Rampe 4m InnenEcke Stahl"

4mrampis2,"Ramp 4m 2","Rampe 4m 2"
4mrampis2Desc,"Ramp 4m Inside corner Steel","Rampe 4m InnenEcke Stahl"

4mrampis3,"Ramp 4m 3","Rampe 4m 3"
4mrampis3Desc,"Ramp 4m Inside corner Steel","Rampe 4m InnenEcke Stahl"

4mrampis4,"Ramp 4m 4","Rampe 4m 4"
4mrampis4Desc,"Ramp 4m Inside corner Steel","Rampe 4m InnenEcke Stahl"

6mrampif1,"Ramp 6m 1","Rampe 6m 1"
6mrampif1Desc,"Ramp 6m Inside corner frameShapes","Rampe 6m InnenEcke RahmenFormen"

6mrampif2,"Ramp 6m 2","Rampe 6m 2"
6mrampif2Desc,"Ramp 6m Inside corner frameShapes","Rampe 6m InnenEcke RahmenFormen"

6mrampif3,"Ramp 6m 3","Rampe 6m 3"
6mrampif3Desc,"Ramp 6m Inside corner frameShapes","Rampe 6m InnenEcke RahmenFormen"

6mrampif4,"Ramp 6m 4","Rampe 6m 4"
6mrampif4Desc,"Ramp 6m Inside corner frameShapes","Rampe 6m InnenEcke RahmenFormen"

6mrampif5,"Ramp 6m 5","Rampe 6m 5"
6mrampif5Desc,"Ramp 6m Inside corner frameShapes","Rampe 6m InnenEcke RahmenFormen"

6mrampif6,"Ramp 6m 6","Rampe 6m 6"
6mrampif6Desc,"Ramp 6m Inside corner frameShapes","Rampe 6m InnenEcke RahmenFormen"

6mrampif1BlockVariantHelper,"Ramp 6m Inside/Outside Corner frameShapes","Rampe 6m InnenEcke RahmenFormen"
6mrampif1BlockVariantHelperDesc,"Craft various Ramp 6m with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the radial menu. Click or Shift-Click to select a variant to build with.","Stelle mit diesem Helferblock verschiedene Rampen 6m her.\nFüge den gefertigten Block deiner Leiste hinzu, halte die Nachladen-Taste gedrückt und wähle den Formeintrag im Kreismenü. Klicke oder Shift-Klicke, um eine Variante auszuwählen und damit zu bauen."

6mrampih1,"Ramp 6m 1","Rampe 6m 1"
6mrampih1Desc,"Ramp 6m Inside corner Wood","Rampe 6m InnenEcke Holz"

6mrampih2,"Ramp 6m 2","Rampe 6m 2"
6mrampih2Desc,"Ramp 6m Inside corner Wood","Rampe 6m InnenEcke Holz"

6mrampih3,"Ramp 6m 3","Rampe 6m 3"
6mrampih3Desc,"Ramp 6m Inside corner Wood","Rampe 6m InnenEcke Holz"

6mrampih4,"Ramp 6m 4","Rampe 6m 4"
6mrampih4Desc,"Ramp 6m Inside corner Wood","Rampe 6m InnenEcke Holz"

6mrampih5,"Ramp 6m 5","Rampe 6m 5"
6mrampih5Desc,"Ramp 6m Inside corner Wood","Rampe 6m InnenEcke Holz"

6mrampih6,"Ramp 6m 6","Rampe 6m 6"
6mrampih6Desc,"Ramp 6m Inside corner Wood","Rampe 6m InnenEcke Holz"

6mrampib1,"Ramp 6m 1","Rampe 6m 1"
6mrampib1Desc,"Ramp 6m Inside corner Brick","Rampe 6m InnenEcke Ziegel"

6mrampib2,"Ramp 6m 2","Rampe 6m 2"
6mrampib2Desc,"Ramp 6m Inside corner Brick","Rampe 6m InnenEcke Ziegel"

6mrampib3,"Ramp 6m 3","Rampe 6m 3"
6mrampib3Desc,"Ramp 6m Inside corner Brick","Rampe 6m InnenEcke Ziegel"

6mrampib4,"Ramp 6m 4","Rampe 6m 4"
6mrampib4Desc,"Ramp 6m Inside corner Brick","Rampe 6m InnenEcke Ziegel"

6mrampib5,"Ramp 6m 5","Rampe 6m 5"
6mrampib5Desc,"Ramp 6m Inside corner Brick","Rampe 6m InnenEcke Ziegel"

6mrampib6,"Ramp 6m 6","Rampe 6m 6"
6mrampib6Desc,"Ramp 6m Inside corner Brick","Rampe 6m InnenEcke Ziegel"

6mrampiz1,"Ramp 6m 1","Rampe 6m 1"
6mrampiz1Desc,"Ramp 6m Inside corner Cement","Rampe 6m InnenEcke Zement"

6mrampiz2,"Ramp 6m 2","Rampe 6m 2"
6mrampiz2Desc,"Ramp 6m Inside corner Cement","Rampe 6m InnenEcke Zement"

6mrampiz3,"Ramp 6m 3","Rampe 6m 3"
6mrampiz3Desc,"Ramp 6m Inside corner Cement","Rampe 6m InnenEcke Zement"

6mrampiz4,"Ramp 6m 4","Rampe 6m 4"
6mrampiz4Desc,"Ramp 6m Inside corner Cement","Rampe 6m InnenEcke Zement"

6mrampiz5,"Ramp 6m 5","Rampe 6m 5"
6mrampiz5Desc,"Ramp 6m Inside corner Cement","Rampe 6m InnenEcke Zement"

6mrampiz6,"Ramp 6m 6","Rampe 6m 6"
6mrampiz6Desc,"Ramp 6m Inside corner Cement","Rampe 6m InnenEcke Zement"

6mrampis1,"Ramp 6m 1","Rampe 6m 1"
6mrampis1Desc,"Ramp 6m Inside corner Steel","Rampe 6m InnenEcke Stahl"

6mrampis2,"Ramp 6m 2","Rampe 6m 2"
6mrampis2Desc,"Ramp 6m Inside corner Steel","Rampe 6m InnenEcke Stahl"

6mrampis3,"Ramp 6m 3","Rampe 6m 3"
6mrampis3Desc,"Ramp 6m Inside corner Steel","Rampe 6m InnenEcke Stahl"

6mrampis4,"Ramp 6m 4","Rampe 6m 4"
6mrampis4Desc,"Ramp 6m Inside corner Steel","Rampe 6m InnenEcke Stahl"

6mrampis5,"Ramp 6m 5","Rampe 6m 5"
6mrampis5Desc,"Ramp 6m Inside corner Steel","Rampe 6m InnenEcke Stahl"

6mrampis6,"Ramp 6m 6","Rampe 6m 6"
6mrampis6Desc,"Ramp 6m Inside corner Steel","Rampe 6m InnenEcke Stahl"

6mrampaf1,"Ramp 6m 1","Rampe 6m 1"
6mrampaf1Desc,"Ramp 6m Outside corner frameShapes","Rampe 6m AussenEcke RahmenFormen"

6mrampaf2,"Ramp 6m 2","Rampe 6m 2"
6mrampaf2Desc,"Ramp 6m Outside corner frameShapes","Rampe 6m AussenEcke RahmenFormen"

6mrampaf3,"Ramp 6m 3","Rampe 6m 3"
6mrampaf3Desc,"Ramp 6m Outside corner frameShapes","Rampe 6m AussenEcke RahmenFormen"

6mrampaf4,"Ramp 6m 4","Rampe 6m 4"
6mrampaf4Desc,"Ramp 6m Outside corner frameShapes","Rampe 6m AussenEcke RahmenFormen"

6mrampaf5,"Ramp 6m 5","Rampe 6m 5"
6mrampaf5Desc,"Ramp 6m Outside corner frameShapes","Rampe 6m AussenEcke RahmenFormen"

6mrampaf6,"Ramp 6m 6","Rampe 6m 6"
6mrampaf6Desc,"Ramp 6m Outside corner frameShapes","Rampe 6m AussenEcke RahmenFormen"

6mrampah1,"Ramp 6m 1","Rampe 6m 1"
6mrampah1Desc,"Ramp 6m Outside corner Wood","Rampe 6m AussenEcke Holz"

6mrampah2,"Ramp 6m 2","Rampe 6m 2"
6mrampah2Desc,"Ramp 6m Outside corner Wood","Rampe 6m AussenEcke Holz"

6mrampah3,"Ramp 6m 3","Rampe 6m 3"
6mrampah3Desc,"Ramp 6m Outside corner Wood","Rampe 6m AussenEcke Holz"

6mrampah4,"Ramp 6m 4","Rampe 6m 4"
6mrampah4Desc,"Ramp 6m Outside corner Wood","Rampe 6m AussenEcke Holz"

6mrampah5,"Ramp 6m 5","Rampe 6m 5"
6mrampah5Desc,"Ramp 6m Outside corner Wood","Rampe 6m AussenEcke Holz"

6mrampah6,"Ramp 6m 6","Rampe 6m 6"
6mrampah6Desc,"Ramp 6m Outside corner Wood","Rampe 6m AussenEcke Holz"

6mrampab1,"Ramp 6m 1","Rampe 6m 1"
6mrampab1Desc,"Ramp 6m Outside corner Brick","Rampe 6m AussenEcke Ziegel"

6mrampab2,"Ramp 6m 2","Rampe 6m 2"
6mrampab2Desc,"Ramp 6m Outside corner Brick","Rampe 6m AussenEcke Ziegel"

6mrampab3,"Ramp 6m 3","Rampe 6m 3"
6mrampab3Desc,"Ramp 6m Outside corner Brick","Rampe 6m AussenEcke Ziegel"

6mrampab4,"Ramp 6m 4","Rampe 6m 4"
6mrampab4Desc,"Ramp 6m Outside corner Brick","Rampe 6m AussenEcke Ziegel"

6mrampab5,"Ramp 6m 5","Rampe 6m 5"
6mrampab5Desc,"Ramp 6m Outside corner Brick","Rampe 6m AussenEcke Ziegel"

6mrampab6,"Ramp 6m 6","Rampe 6m 6"
6mrampab6Desc,"Ramp 6m Outside corner Brick","Rampe 6m AussenEcke Ziegel"

6mrampaz1,"Ramp 6m 1","Rampe 6m 1"
6mrampaz1Desc,"Ramp 6m Outside corner Cement","Rampe 6m AussenEcke Zement"

6mrampaz2,"Ramp 6m 2","Rampe 6m 2"
6mrampaz2Desc,"Ramp 6m Outside corner Cement","Rampe 6m AussenEcke Zement"

6mrampaz3,"Ramp 6m 3","Rampe 6m 3"
6mrampaz3Desc,"Ramp 6m Outside corner Cement","Rampe 6m AussenEcke Zement"

6mrampaz4,"Ramp 6m 4","Rampe 6m 4"
6mrampaz4Desc,"Ramp 6m Outside corner Cement","Rampe 6m AussenEcke Zement"

6mrampaz5,"Ramp 6m 5","Rampe 6m 5"
6mrampaz5Desc,"Ramp 6m Outside corner Cement","Rampe 6m AussenEcke Zement"

6mrampaz6,"Ramp 6m 6","Rampe 6m 6"
6mrampaz6Desc,"Ramp 6m Outside corner Cement","Rampe 6m AussenEcke Zement"

6mrampas1,"Ramp 6m 1","Rampe 6m 1"
6mrampas1Desc,"Ramp 6m Outside corner Steel","Rampe 6m AussenEcke Stahl"

6mrampas2,"Ramp 6m 2","Rampe 6m 2"
6mrampas2Desc,"Ramp 6m Outside corner Steel","Rampe 6m AussenEcke Stahl"

6mrampas3,"Ramp 6m 3","Rampe 6m 3"
6mrampas3Desc,"Ramp 6m Outside corner Steel","Rampe 6m AussenEcke Stahl"

6mrampas4,"Ramp 6m 4","Rampe 6m 4"
6mrampas4Desc,"Ramp 6m Outside corner Steel","Rampe 6m AussenEcke Stahl"

6mrampas5,"Ramp 6m 5","Rampe 6m 5"
6mrampas5Desc,"Ramp 6m Outside corner Steel","Rampe 6m AussenEcke Stahl"

6mrampas6,"Ramp 6m 6","Rampe 6m 6"
6mrampas6Desc,"Ramp 6m Outside corner Steel","Rampe 6m AussenEcke Stahl"

8mrampaf1,"Ramp 8m 1","Rampe 8m 1"
8mrampaf1Desc,"Ramp 8m Outside corner frameShapes","Rampe 8m AussenEcke RahmenFormen"

8mrampaf2,"Ramp 8m 2","Rampe 8m 2"
8mrampaf2Desc,"Ramp 8m Outside corner frameShapes","Rampe 8m AussenEcke RahmenFormen"

8mrampaf3,"Ramp 8m 3","Rampe 8m 3"
8mrampaf3Desc,"Ramp 8m Outside corner frameShapes","Rampe 8m AussenEcke RahmenFormen"

8mrampaf4,"Ramp 8m 4","Rampe 8m 4"
8mrampaf4Desc,"Ramp 8m Outside corner frameShapes","Rampe 8m AussenEcke RahmenFormen"

8mrampaf5,"Ramp 8m 5","Rampe 8m 5"
8mrampaf5Desc,"Ramp 8m Outside corner frameShapes","Rampe 8m AussenEcke RahmenFormen"

8mrampaf6,"Ramp 8m 6","Rampe 8m 6"
8mrampaf6Desc,"Ramp 8m Outside corner frameShapes","Rampe 8m AussenEcke RahmenFormen"

8mrampaf7,"Ramp 8m 7","Rampe 8m 7"
8mrampaf7Desc,"Ramp 8m Outside corner frameShapes","Rampe 8m AussenEcke RahmenFormen"

8mrampaf8,"Ramp 8m 8","Rampe 8m 8"
8mrampaf8Desc,"Ramp 8m Outside corner frameShapes","Rampe 8m AussenEcke RahmenFormen"

8mrampah1,"Ramp 8m 1","Rampe 8m 1"
8mrampah1Desc,"Ramp 8m Outside corner Wood","Rampe 8m AussenEcke Holz"

8mrampah2,"Ramp 8m 2","Rampe 8m 2"
8mrampah2Desc,"Ramp 8m Outside corner Wood","Rampe 8m AussenEcke Holz"

8mrampah3,"Ramp 8m 3","Rampe 8m 3"
8mrampah3Desc,"Ramp 8m Outside corner Wood","Rampe 8m AussenEcke Holz"

8mrampah4,"Ramp 8m 4","Rampe 8m 4"
8mrampah4Desc,"Ramp 8m Outside corner Wood","Rampe 8m AussenEcke Holz"

8mrampah5,"Ramp 8m 5","Rampe 8m 5"
8mrampah5Desc,"Ramp 8m Outside corner Wood","Rampe 8m AussenEcke Holz"

8mrampah6,"Ramp 8m 6","Rampe 8m 6"
8mrampah6Desc,"Ramp 8m Outside corner Wood","Rampe 8m AussenEcke Holz"

8mrampah7,"Ramp 8m 7","Rampe 8m 7"
8mrampah7Desc,"Ramp 8m Outside corner Wood","Rampe 8m AussenEcke Holz"

8mrampah8,"Ramp 8m 8","Rampe 8m 8"
8mrampah8Desc,"Ramp 8m Outside corner Wood","Rampe 8m AussenEcke Holz"

8mrampab1,"Ramp 8m 1","Rampe 8m 1"
8mrampab1Desc,"Ramp 8m Outside corner Brick","Rampe 8m AussenEcke Ziegel"

8mrampab2,"Ramp 8m 2","Rampe 8m 2"
8mrampab2Desc,"Ramp 8m Outside corner Brick","Rampe 8m AussenEcke Ziegel"

8mrampab3,"Ramp 8m 3","Rampe 8m 3"
8mrampab3Desc,"Ramp 8m Outside corner Brick","Rampe 8m AussenEcke Ziegel"

8mrampab4,"Ramp 8m 4","Rampe 8m 4"
8mrampab4Desc,"Ramp 8m Outside corner Brick","Rampe 8m AussenEcke Ziegel"

8mrampab5,"Ramp 8m 5","Rampe 8m 5"
8mrampab5Desc,"Ramp 8m Outside corner Brick","Rampe 8m AussenEcke Ziegel"

8mrampab6,"Ramp 8m 6","Rampe 8m 6"
8mrampab6Desc,"Ramp 8m Outside corner Brick","Rampe 8m AussenEcke Ziegel"

8mrampab7,"Ramp 8m 7","Rampe 8m 7"
8mrampab7Desc,"Ramp 8m Outside corner Brick","Rampe 8m AussenEcke Ziegel"

8mrampab8,"Ramp 8m 8","Rampe 8m 8"
8mrampab8Desc,"Ramp 8m Outside corner Brick","Rampe 8m AussenEcke Ziegel"

8mrampaz1,"Ramp 8m 1","Rampe 8m 1"
8mrampaz1Desc,"Ramp 8m Outside corner Cement","Rampe 8m AussenEcke Zement"

8mrampaz2,"Ramp 8m 2","Rampe 8m 2"
8mrampaz2Desc,"Ramp 8m Outside corner Cement","Rampe 8m AussenEcke Zement"

8mrampaz3,"Ramp 8m 3","Rampe 8m 3"
8mrampaz3Desc,"Ramp 8m Outside corner Cement","Rampe 8m AussenEcke Zement"

8mrampaz4,"Ramp 8m 4","Rampe 8m 4"
8mrampaz4Desc,"Ramp 8m Outside corner Cement","Rampe 8m AussenEcke Zement"

8mrampaz5,"Ramp 8m 5","Rampe 8m 5"
8mrampaz5Desc,"Ramp 8m Outside corner Cement","Rampe 8m AussenEcke Zement"

8mrampaz6,"Ramp 8m 6","Rampe 8m 6"
8mrampaz6Desc,"Ramp 8m Outside corner Cement","Rampe 8m AussenEcke Zement"

8mrampaz7,"Ramp 8m 7","Rampe 8m 7"
8mrampaz7Desc,"Ramp 8m Outside corner Cement","Rampe 8m AussenEcke Zement"

8mrampaz8,"Ramp 8m 8","Rampe 8m 8"
8mrampaz8Desc,"Ramp 8m Outside corner Cement","Rampe 8m AussenEcke Zement"

8mrampas1,"Ramp 8m 1","Rampe 8m 1"
8mrampas1Desc,"Ramp 8m Outside corner Steel","Rampe 8m AussenEcke Stahl"

8mrampas2,"Ramp 8m 2","Rampe 8m 2"
8mrampas2Desc,"Ramp 8m Outside corner Steel","Rampe 8m AussenEcke Stahl"

8mrampas3,"Ramp 8m 3","Rampe 8m 3"
8mrampas3Desc,"Ramp 8m Outside corner Steel","Rampe 8m AussenEcke Stahl"

8mrampas4,"Ramp 8m 4","Rampe 8m 4"
8mrampas4Desc,"Ramp 8m Outside corner Steel","Rampe 8m AussenEcke Stahl"

8mrampas5,"Ramp 8m 5","Rampe 8m 5"
8mrampas5Desc,"Ramp 8m Outside corner Steel","Rampe 8m AussenEcke Stahl"

8mrampas6,"Ramp 8m 6","Rampe 8m 6"
8mrampas6Desc,"Ramp 8m Outside corner Steel","Rampe 8m AussenEcke Stahl"

8mrampas7,"Ramp 8m 7","Rampe 8m 7"
8mrampas7Desc,"Ramp 8m Outside corner Steel","Rampe 8m AussenEcke Stahl"

8mrampas8,"Ramp 8m 8","Rampe 8m 8"
8mrampas8Desc,"Ramp 8m Outside corner Steel","Rampe 8m AussenEcke Stahl"

8mrampif1,"Ramp 8m 1","Rampe 8m 1" 
8mrampif1Desc,"Ramp 8m Inside corner frameShapes","Rampe 8m InnenEcke RahmenFormen"

8mrampif2,"Ramp 8m 2","Rampe 8m 2"
8mrampif2Desc,"Ramp 8m Inside corner frameShapes","Rampe 8m InnenEcke RahmenFormen"

8mrampif3,"Ramp 8m 3","Rampe 8m 3"
8mrampif3Desc,"Ramp 8m Inside corner frameShapes","Rampe 8m InnenEcke RahmenFormen"

8mrampif4,"Ramp 8m 4","Rampe 8m 4"
8mrampif4Desc,"Ramp 8m Inside corner frameShapes","Rampe 8m InnenEcke RahmenFormen"

8mrampif5,"Ramp 8m 5","Rampe 8m 5"
8mrampif5Desc,"Ramp 8m Inside corner frameShapes","Rampe 8m InnenEcke RahmenFormen"

8mrampif6,"Ramp 8m 6","Rampe 8m 6"
8mrampif6Desc,"Ramp 8m Inside corner frameShapes","Rampe 8m InnenEcke RahmenFormen"

8mrampif7,"Ramp 8m 7","Rampe 8m 7"
8mrampif7Desc,"Ramp 8m Inside corner frameShapes","Rampe 8m InnenEcke RahmenFormen"

8mrampif8,"Ramp 8m 8","Rampe 8m 8"
8mrampif8Desc,"Ramp 8m Inside corner frameShapes","Rampe 8m InnenEcke RahmenFormen"

8mrampif1BlockVariantHelper,"Ramp 8m Inside/Outside Corner frameShapes","Rampe 8m InnenEcke RahmenFormen"
8mrampif1BlockVariantHelperDesc,"Craft various Ramp 8m with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the radial menu. Click or Shift-Click to select a variant to build with.","Stelle mit diesem Helferblock verschiedene Rampen 8m her.\nFüge den gefertigten Block deiner Leiste hinzu, halte die Nachladen-Taste gedrückt und wähle den Formeintrag im Kreismenü. Klicke oder Shift-Klicke, um eine Variante auszuwählen und damit zu bauen."

8mrampih1,"Ramp 8m 1","Rampe 8m 1" 
8mrampih1Desc,"Ramp 8m Inside corner Wood","Rampe 8m InnenEcke Holz"

8mrampih2,"Ramp 8m 2","Rampe 8m 2"
8mrampih2Desc,"Ramp 8m Inside corner Wood","Rampe 8m InnenEcke Holz"

8mrampih3,"Ramp 8m 3","Rampe 8m 3"
8mrampih3Desc,"Ramp 8m Inside corner Wood","Rampe 8m InnenEcke Holz"

8mrampih4,"Ramp 8m 4","Rampe 8m 4"
8mrampih4Desc,"Ramp 8m Inside corner Wood","Rampe 8m InnenEcke Holz"

8mrampih5,"Ramp 8m 5","Rampe 8m 5"
8mrampih5Desc,"Ramp 8m Inside corner Wood","Rampe 8m InnenEcke Holz"

8mrampih6,"Ramp 8m 6","Rampe 8m 6"
8mrampih6Desc,"Ramp 8m Inside corner Wood","Rampe 8m InnenEcke Holz"

8mrampih7,"Ramp 8m 7","Rampe 8m 7"
